x,y,NA,TOT,du,lr,r,sbu,sdu,uc,vlr
0,0,0,22,0,13,0,0,5,0,4
0,1,0,13,0,8,0,0,0,0,5
0,2,0,16,0,9,0,0,0,0,7
0,3,0,20,0,9,3,0,0,0,8
0,4,0,13,0,8,0,0,0,0,5
0,5,0,20,0,14,0,0,0,0,6
0,6,0,18,0,6,0,0,0,0,12
0,7,0,16,0,4,0,0,0,0,12
0,8,0,24,0,8,1,0,0,0,15
0,9,0,24,0,10,2,0,0,0,12
0,10,0,19,0,10,0,0,0,0,9
0,11,0,25,0,13,3,0,0,0,9
0,12,0,15,0,9,0,0,0,0,6
0,13,0,21,0,13,0,0,0,0,8
0,14,0,19,0,5,0,0,0,0,14
0,15,0,24,0,12,0,0,0,0,12
0,16,0,19,0,9,0,0,0,0,10
0,17,0,17,0,11,0,0,0,0,6
0,18,0,21,0,7,7,0,0,0,7
0,19,0,20,0,9,3,0,0,0,8
0,20,0,19,0,6,0,0,0,0,13
0,21,0,22,0,5,0,0,0,0,17
0,22,0,18,0,4,0,0,0,0,14
0,23,0,19,0,9,0,0,0,0,10
0,24,0,18,0,7,0,0,0,0,11
0,25,0,13,0,6,0,0,0,0,7
0,26,0,24,0,11,0,0,0,0,13
0,27,0,21,0,9,0,0,0,0,12
0,28,0,19,0,6,0,0,0,0,13
0,29,0,11,0,4,0,0,0,0,7
0,30,0,18,0,7,0,0,0,0,11
0,31,0,18,0,7,0,0,0,0,11
0,32,0,16,0,8,0,2,0,0,6
0,33,0,10,0,4,0,1,0,0,5
0,34,0,12,0,3,0,0,0,0,9
0,35,0,17,0,4,0,0,0,0,13
0,36,0,12,0,9,0,0,0,0,3
0,37,0,9,0,5,0,0,0,0,4
0,38,0,22,0,8,2,0,0,0,12
0,39,0,19,0,6,0,0,0,0,13
0,40,0,19,0,8,0,2,0,0,9
0,41,0,21,0,3,0,4,0,10,4
0,42,0,13,0,5,1,0,0,0,7
0,43,0,18,0,5,0,0,0,0,13
0,44,0,16,0,5,0,0,0,0,11
0,45,0,19,0,7,0,0,0,0,12
0,46,0,9,0,5,0,0,0,0,4
0,47,0,11,0,5,0,0,0,0,6
0,48,0,16,0,4,1,0,0,0,11
0,49,0,10,0,5,0,0,0,0,5
0,50,0,8,0,3,0,0,0,0,5
0,51,0,10,0,2,0,0,0,0,8
