x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
0,11,9,6.3,19
0,12,2,6.4,19
0,15,8,3.5,15
0,16,9,7.4,17
0,17,2,6.5,16
0,20,3,15.5,25
0,24,0,5.1,23
0,25,3,5.4,23
0,26,0,3.3,22
0,27,46,3.4,22
0,28,6,5.3,24
1,12,0,4.9,20
1,13,2,2.6,21
1,14,179,2.3,19
1,15,11,2.6,16
1,17,2,7.4,17
1,19,0,14.8,24
1,20,0,14.4,24
1,25,4,7,25
1,26,2,5.2,24
1,27,31,5.2,24
1,28,1,4.9,24
1,29,2,6.3,25
1,30,0,7.7,26
1,31,0,13,32
1,32,3,12.9,32
1,33,28,13.3,32
1,35,1,23.9,43
2,11,0,4.5,23
2,12,145,3.4,22
2,13,599,1.5,20
2,14,179,1.4,20
2,15,79,2.7,18
2,16,0,3.1,18
2,17,0,8.6,18
2,19,2,9.8,19
2,20,3,11.8,21
2,24,13,9.9,28
2,25,5,10.7,29
2,26,3,7,26
2,27,0,7.3,26
2,30,7,8.7,27
2,31,5,8.7,27
2,32,18,9.6,28
2,33,4,13.2,32
2,34,5,14.4,33
2,35,2,20.4,39
2,36,0,20.3,39
3,12,5,3.8,22
3,20,7,12,22
3,21,20,13.9,23
3,22,3,15.3,25
3,24,0,17.5,27
3,25,6,9.4,28
3,26,8,9.3,28
3,29,0,9.8,29
3,30,4,9.8,28
3,31,7,11.2,30
3,32,0,11.4,30
3,33,1,12.3,31
3,34,2,13.5,32
3,35,0,21,40
3,36,3,17.9,37
4,20,4,15.1,25
4,21,5,14.4,24
4,22,0,14.2,24
4,24,4,13.8,32
4,25,0,12.6,31
4,27,3,17.2,36
4,28,2,15,34
4,29,3,11.1,30
4,30,18,10.9,30
4,31,2,14.1,33
4,32,0,13.9,33
4,34,8,13.7,32
4,35,0,14.2,33
4,36,1,15.9,35
5,20,12,19.1,29
5,25,0,13.6,32
5,28,18,14.4,33
5,29,19,12.3,31
5,36,3,17.5,36
5,37,5,17.5,36
6,20,33,21.8,31
6,21,4,21.5,31
6,28,0,14.4,33
6,29,7,13.3,32
6,30,0,13.5,32
6,36,6,18.8,37
6,37,4,18.8,38
7,20,3,21.9,32
7,21,4,19.3,31
7,27,3,13.4,33
7,28,0,14,34
7,29,14,15.1,34
7,30,10,15.1,34
7,31,8,15.6,34
7,32,5,17.3,36
7,34,7,22.3,41
7,35,2,20.7,39
7,36,1,20.4,39
8,20,2,17.8,32
8,21,8,18.7,32
8,26,1,15,37
8,27,6,13.4,35
8,28,1,12.6,34
8,30,0,17.7,36
8,32,2,18.1,37
8,33,11,18.7,37
8,34,6,19.4,38
9,22,2,16.6,38
9,27,0,11.8,35
9,28,9,11.5,36
9,29,1,11.5,38
9,30,3,11.5,38
10,21,4,14.5,35
10,22,8,14.4,36
10,23,13,14,37
10,28,2,11,38
10,29,24,10.9,37
10,30,13,9.4,37
10,37,3,9.5,55
11,23,0,12.6,37
11,24,4,12.1,38
11,30,3,8.5,38
11,31,2,8.7,39
11,32,6,5.5,50
11,33,5,5.4,50
11,34,2,5.9,50
11,35,1,8.1,53
11,36,4,7.2,54
11,37,1,8.4,55
12,24,0,12.3,40
12,25,10,11.4,39
12,26,4,11.8,40
12,30,0,9.3,41
12,33,8,3.6,48
12,35,2,8.3,53
12,36,5,5.6,52
12,37,1,5.3,52
13,25,0,9.4,40
13,26,3,9.2,41
13,29,0,6.8,41
13,33,1,2.6,47
13,36,3,6.1,53
14,27,0,7.8,42
14,28,1,6.2,42
14,29,2,5.4,41
14,35,8,3.2,50
14,36,24,2.5,49
14,37,7,2.8,50
15,31,7,4.3,46
15,34,16,1.1,47
15,35,45,1.3,48
16,16,2,23.6,67
16,17,0,23.5,67
16,30,0,6.9,49
16,31,6,6.7,49
16,34,0,1.9,49
16,35,23,1.3,48
17,16,478,24.4,68
17,17,21,19.8,64
17,25,8,14.5,54
17,34,0,2.7,50
17,35,15,3.6,50
18,17,9,20.5,64
18,22,11,10.6,54
18,23,0,9.5,53
18,25,2,10.1,50
18,26,3,9.6,49
18,28,0,7.4,45
18,29,2,9,46
18,30,3,9,47
18,31,0,7.5,48
18,32,2,7,49
18,65,1,NA,NA
19,26,26,8.6,48
19,28,17,6.4,46
19,32,2,6.5,50
20,26,8,9.2,49
20,27,10,8.7,48
20,28,0,9,49
20,30,22,4,48
20,31,0,4.9,50
20,32,0,2.7,55
20,33,36,3.8,56
21,26,7,12.5,52
21,27,8,11,51
21,28,0,11.5,51
21,30,36,2.7,50
21,31,28,1.9,54
21,32,40,1.8,54
21,33,11,2.3,54
21,36,30,8.6,60
21,75,13,10,83
22,20,4,13.2,65
22,21,39,9.9,62
22,22,3,8.1,60
22,28,0,16,56
22,31,39,0.8,52
22,32,0,2.3,54
22,68,3,4.3,84
22,69,0,4.3,84
22,71,13,6.3,81
22,72,0,6.4,81
22,73,21,6.8,80
22,74,3,5.7,79
22,75,3,4.9,78
22,76,0,4.9,78
23,21,1,9.4,61
23,22,104,9.8,62
23,23,7,5.3,58
23,43,0,7.7,62
23,67,3,4.7,87
23,68,100,3,84
23,69,91,2.7,82
23,70,31,3.2,80
23,71,50,4.4,81
23,72,36,5,78
23,73,13,5.2,79
23,74,1,3.9,77
23,75,39,2.9,76
23,76,25,2.7,76
23,77,3,5.2,79
23,83,0,9.3,77
23,86,32,14.7,83
24,21,10,2.2,62
24,22,113,2.5,62
24,23,133,3.7,60
24,43,159,5.3,61
24,67,77,3.1,86
24,68,344,0.8,83
24,69,43,4.9,83
24,71,7,7,83
24,73,12,5,78
24,74,31,3.1,77
24,75,83,2,75
24,76,184,1.8,75
24,77,51,3.4,77
24,85,17,11.6,80
24,86,8,14.3,82
25,22,47,2,63
25,23,32,3.8,60
25,24,42,4.1,60
25,39,0,12.3,63
25,43,87,2.8,59
25,66,0,5.6,88
25,67,58,2.7,85
25,68,90,2.5,85
25,74,14,4.9,78
25,75,20,1.6,76
25,76,141,1.8,76
25,77,7,2.2,72
25,78,3,4.4,74
25,83,6,6.8,75
26,22,0,6.8,65
26,23,208,5,63
26,24,37,3.4,62
26,39,12,10.6,62
26,43,64,1.3,58
26,44,6,1.6,58
26,67,3,4.5,86
