x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,4,4,1.6,0.3,0.2,0,0.1,1.6,0.1,1.3,230.4,1
0,5,7.5,2.9,0.5,0.3,0,0.3,2.9,0.1,2.7,301.3,1
0,6,59,21,3,2,0,1,21,0,16,2263,0
0,7,108,35,1,3,0,3,35,2,24,3725,0
0,8,67.5,28,4,1,1,2,27,0,26,2883,0
0,9,18,7,1.2,0.7,0,0.7,7,0.2,6.5,723.2,1
0,10,2,0.9,0.1,0,0,0.1,0.9,0,0.8,94.1,1
0,13,3,1.3,0.2,0,0,0.2,1.3,0,1.1,141.2,1
0,14,5,2.2,0.3,0.1,0,0.3,2.2,0.1,1.9,235.3,1
0,16,8,3.7,1.1,0,0,0,3.7,0.3,2.9,441.1,1
0,17,8,3.7,1.1,0,0,0,3.7,0.3,2.9,441.1,1
0,23,3,1.3,0.2,0,0,0.1,1.3,0,1,159.9,1
0,24,5,2.2,0.4,0,0,0.2,2.2,0,1.7,266.5,1
0,28,2,0.9,0.1,0,0,0.1,0.9,0,0.7,106.6,1
0,30,3,1,0.2,0.2,0,0,1,0.1,0.8,134.1,1
0,31,6,2.1,0.4,0.4,0,0,2.1,0.1,1.7,268.2,1
0,32,14,4.9,0.9,0.9,0,0.1,4.9,0.3,4,625.8,1
0,34,5,1.7,0.3,0.3,0,0,1.7,0.1,1.4,223.5,1
0,42,5,2.3,0.8,0.2,0.2,0,2.1,0.5,1.5,360.2,1
0,48,1,0.5,0.2,0,0,0,0.5,0.1,0.3,72,1
0,58,156.5,73,29,4,72,25,1,21,2,5482,0
0,59,156.5,82,44,2,68,5,14,5,32,6281,0
0,60,152,90,54,1,43,9,47,15,34,6415,0
0,61,110.5,61,27,1,36,6,25,6,24,4744,0
0,62,121,53,18,4,2,9,51,6,10,3778,0
0,63,34,15,5,1,0,2,15,1,1,1067,0
0,64,64,26,5,0,0,3,26,3,23,2056,0
0,70,1,0.5,0.1,0,0,0,0.5,0,0.4,49.5,1
0,72,2,0.9,0.2,0,0,0.1,0.9,0.1,0.8,99,1
0,73,7,3.2,0.7,0,0,0.3,3.2,0.3,2.7,346.7,1
0,74,5,2.3,0.5,0,0,0.2,2.3,0.2,1.9,247.6,1
0,75,1,0.4,0,0,0,0,0.4,0.1,0.4,58.1,1
0,76,2,0.8,0.1,0,0,0,0.8,0.1,0.8,116.2,1
0,77,6,2.4,0.2,0.1,0,0.1,2.4,0.3,2.4,348.7,1
0,89,4,1.8,0.4,0,0.1,0,1.7,0.5,1.2,204.4,1
0,90,4,1.9,0.6,0.2,0,0.1,1.9,0.1,1.7,229.9,1
0,91,5,2.3,0.8,0.2,0,0.2,2.3,0.2,2.2,287.4,1
0,93,21,9.8,3.3,1,0,0.8,9.8,0.8,9.1,1207,1
0,94,12,5.6,1.9,0.6,0,0.4,5.6,0.4,5.2,689.7,1
0,95,9,3.9,0.9,0,0,0.3,3.9,0.3,3.3,485.5,1
0,101,6,2.7,1,0.3,0,0.1,2.7,0.3,2,317.3,1
0,103,1,0.4,0.2,0,0,0,0.4,0,0.3,52.9,1
0,122,5,2.2,0.7,0,0,0.4,2.2,0.6,0.9,235.3,1
0,125,6,2.9,1.1,0,0.3,0.2,2.6,0.3,1.7,336,1
1,6,3,1.2,0.2,0.1,0,0.1,1.2,0,1.1,120.5,1
1,7,9,3.5,0.6,0.4,0,0.4,3.5,0.1,3.2,361.6,1
1,8,15,5.9,1,0.6,0,0.6,5.9,0.1,5.4,602.6,1
1,9,66,37,17,0,13,2,24,6,11,2467,0
1,10,14,6,0.9,0.2,0,0.9,6,0.2,5.3,658.9,1
1,12,4,1.7,0.3,0,0,0.3,1.7,0,1.5,188.3,1
1,17,4,1.9,0.6,0,0,0,1.9,0.1,1.4,220.6,1
1,19,1,0.5,0.1,0,0,0,0.5,0,0.4,55.1,1
1,23,2,0.9,0.1,0,0,0.1,0.9,0,0.7,106.6,1
1,24,11,4.8,0.8,0,0,0.5,4.8,0,3.8,586.2,1
1,28,6,2.6,0.4,0,0,0.3,2.6,0,2,319.8,1
1,31,11,3.8,0.7,0.7,0,0.1,3.8,0.3,3.1,491.7,1
1,32,4,1.4,0.3,0.3,0,0,1.4,0.1,1.1,178.8,1
1,34,5,1.7,0.3,0.3,0,0,1.7,0.1,1.4,223.5,1
1,40,7,3.3,1.2,0.2,0.3,0,3,0.7,2.1,504.2,1
1,42,3,1.4,0.5,0.1,0.1,0,1.3,0.3,0.9,216.1,1
1,43,4,1.9,0.7,0.1,0.1,0,1.8,0.4,1.2,288.1,1
1,57,4,2.3,1,0,0,0.2,2.3,0.6,1.5,257.1,1
1,58,136,49,3,4,0,6,49,2,7,4328,0
1,59,184,81,26,7,39,12,42,13,2,6168,0
1,60,29,16,6,0,14,5,2,4,2,1118,0
1,61,4,1.9,0.7,0,0.1,0.2,1.8,0.2,1.4,187.7,1
1,62,79,44,20,1,21,8,23,3,20,3311,0
1,63,66.5,29,9,2,0,6,29,5,10,2482,0
1,64,10,4.8,1.8,0,0.4,0.5,4.4,0.5,3.5,469.3,1
1,70,5,2.3,0.5,0,0,0.2,2.3,0.2,1.9,247.6,1
1,76,8,3.2,0.3,0.2,0,0.2,3.2,0.5,3.2,464.9,1
1,77,11,4.4,0.4,0.2,0,0.2,4.4,0.6,4.4,639.3,1
1,89,2,0.9,0.2,0,0.1,0,0.8,0.2,0.6,102.2,1
1,90,17,8,2.7,0.8,0,0.6,8,0.6,7.3,977.1,1
1,91,3,1.4,0.5,0.1,0,0.1,1.4,0.1,1.3,172.4,1
1,92,7,3.3,1.1,0.3,0,0.3,3.3,0.3,3,402.3,1
1,93,9,4.2,1.4,0.4,0,0.3,4.2,0.3,3.9,517.3,1
1,94,8,3.7,1.2,0.4,0,0.3,3.7,0.3,3.4,459.8,1
1,95,11,4.8,1.1,0,0,0.3,4.8,0.3,4,593.4,1
1,98,9,3.9,0.9,0,0,0.3,3.9,0.3,3.3,485.5,1
1,102,1,0.4,0.2,0,0,0,0.4,0,0.3,52.9,1
1,104,1,0.4,0.2,0,0,0,0.4,0,0.3,52.9,1
1,124,3,1.3,0.4,0,0,0.3,1.3,0.4,0.5,141.2,1
1,125,14,6.8,2.5,0,0.7,0.4,6.1,0.7,3.9,784,1
1,126,2,1,0.4,0,0.1,0.1,0.9,0.1,0.6,112,1
2,11,9,3.9,1,0.6,0,0.6,3.9,0.2,3.1,423.8,1
2,12,2,0.9,0.2,0.1,0,0.1,0.9,0,0.7,94.2,1
2,15,4,1.6,0.3,0.2,0.1,0,1.5,0.1,1.3,177.6,1
2,16,3,1.2,0.2,0.1,0,0,1.2,0.1,1,133.2,1
2,17,15,6,1.2,0.6,0.2,0,5.8,0.4,5,666,1
2,18,11,4.4,0.8,0.4,0.2,0,4.2,0.3,3.7,488.4,1
2,19,2,0.8,0.2,0.1,0,0,0.8,0.1,0.7,88.8,1
2,24,4,1.8,0.4,0,0,0.1,1.8,0.4,1.2,192.6,1
2,25,9,4.4,2,0,0,0,4.4,0.3,3.5,479.6,1
2,27,1,0.5,0.2,0,0,0,0.5,0,0.4,53.3,1
2,28,2,1,0.5,0,0,0,1,0.1,0.8,106.6,1
2,29,1,0.5,0.2,0,0,0,0.5,0,0.4,53.3,1
2,30,10,4.2,0.9,0,0,0.2,4.2,0.4,3.5,568.8,1
2,31,14,5.9,1.3,0,0,0.3,5.9,0.5,4.9,796.3,1
2,32,6,2.5,0.6,0,0,0.1,2.5,0.2,2.1,341.3,1
2,37,4,1.7,0.4,0,0,0.1,1.7,0.1,1.4,227.5,1
2,38,4,1.7,0.4,0,0,0.1,1.7,0.1,1.4,227.5,1
2,40,2,0.9,0.3,0.1,0,0,0.9,0.1,0.6,111.4,1
2,41,5,2.1,0.7,0.2,0,0,2.1,0.2,1.5,278.5,1
